,DATA,N_PAZ
0,2020-02-27,11
1,2020-02-28,12
2,2020-02-29,20
3,2020-03-01,24
4,2020-03-02,29
5,2020-03-03,38
6,2020-03-04,42
7,2020-03-05,52
8,2020-03-06,60
9,2020-03-07,62
10,2020-03-08,62
11,2020-03-09,72
12,2020-03-10,78
13,2020-03-11,81
14,2020-03-12,86
15,2020-03-13,88
16,2020-03-14,93
17,2020-03-15,99
18,2020-03-16,113
19,2020-03-17,115
20,2020-03-18,127
21,2020-03-19,134
22,2020-03-20,147
23,2020-03-21,152
24,2020-03-22,157
25,2020-03-23,159
26,2020-03-24,165
27,2020-03-25,171
28,2020-03-26,177
29,2020-03-27,182
30,2020-03-28,187
31,2020-03-29,188
32,2020-03-30,199
33,2020-03-31,198
34,2020-04-01,193
35,2020-04-02,198
36,2020-04-03,197
37,2020-04-04,191
38,2020-04-05,186
39,2020-04-06,187
40,2020-04-07,180
41,2020-04-08,174
42,2020-04-09,169
43,2020-04-10,172
44,2020-04-11,168
45,2020-04-12,171
46,2020-04-13,173
47,2020-04-14,171
48,2020-04-15,161
49,2020-04-16,149
50,2020-04-17,145
51,2020-04-18,137
52,2020-04-19,133
53,2020-04-20,134
54,2020-04-21,125
55,2020-04-22,121
56,2020-04-23,119
57,2020-04-24,117
58,2020-04-25,111
59,2020-04-26,107
60,2020-04-27,108
61,2020-04-28,105
62,2020-04-29,99
63,2020-04-30,91
64,2020-05-01,87
65,2020-05-02,84
66,2020-05-03,83
67,2020-05-04,82
68,2020-05-05,76
69,2020-05-06,70
70,2020-05-07,65
71,2020-05-08,61
72,2020-05-09,55
73,2020-05-10,52
74,2020-05-11,50
75,2020-05-12,49
76,2020-05-13,44
77,2020-05-14,42
78,2020-05-15,40
79,2020-05-16,36
80,2020-05-17,36
81,2020-05-18,38
82,2020-05-19,35
83,2020-05-20,35
84,2020-05-21,35
85,2020-05-22,32
86,2020-05-23,29
87,2020-05-24,30
88,2020-05-25,32
89,2020-05-26,27
90,2020-05-27,27
91,2020-05-28,26
92,2020-05-29,24
93,2020-05-30,25
94,2020-05-31,25
95,2020-06-01,23
96,2020-06-02,23
97,2020-06-03,24
98,2020-06-04,23
99,2020-06-05,23
100,2020-06-06,22
101,2020-06-07,22
102,2020-06-08,22
103,2020-06-09,21
104,2020-06-10,21
105,2020-06-11,20
106,2020-06-12,19
107,2020-06-13,20
108,2020-06-14,19
109,2020-06-15,23
110,2020-06-16,23
111,2020-06-17,22
112,2020-06-18,21
113,2020-06-19,19
114,2020-06-20,18
115,2020-06-21,16
116,2020-06-22,17
117,2020-06-23,17
118,2020-06-24,16
119,2020-06-25,16
120,2020-06-26,17
121,2020-06-27,17
122,2020-06-28,17
123,2020-06-29,18
124,2020-06-30,21
125,2020-07-01,21
126,2020-07-02,21
127,2020-07-03,21
128,2020-07-04,22
129,2020-07-05,22
130,2020-07-06,20
131,2020-07-07,19
132,2020-07-08,19
133,2020-07-09,18
134,2020-07-10,18
135,2020-07-11,19
136,2020-07-12,17
137,2020-07-13,17
138,2020-07-14,17
139,2020-07-15,17
140,2020-07-16,17
141,2020-07-17,17
142,2020-07-18,14
143,2020-07-19,13
144,2020-07-20,13
145,2020-07-21,12
146,2020-07-22,12
147,2020-07-23,13
148,2020-07-24,12
149,2020-07-25,12
150,2020-07-26,12
151,2020-07-27,12
152,2020-07-28,13
153,2020-07-29,13
154,2020-07-30,14
155,2020-07-31,14
156,2020-08-01,11
157,2020-08-02,10
158,2020-08-03,10
159,2020-08-04,9
160,2020-08-05,8
161,2020-08-06,7
162,2020-08-07,8
163,2020-08-08,6
164,2020-08-09,7
165,2020-08-10,9
166,2020-08-11,9
167,2020-08-12,8
168,2020-08-13,8
169,2020-08-14,10
170,2020-08-15,8
171,2020-08-16,8
172,2020-08-17,8
173,2020-08-18,8
174,2020-08-19,8
175,2020-08-20,8
176,2020-08-21,8
177,2020-08-22,8
178,2020-08-23,8
179,2020-08-24,8
180,2020-08-25,12
181,2020-08-26,15
182,2020-08-27,14
183,2020-08-28,14
184,2020-08-29,15
185,2020-08-30,15
186,2020-08-31,16
187,2020-09-01,15
188,2020-09-02,16
189,2020-09-03,15
190,2020-09-04,14
191,2020-09-05,16
192,2020-09-06,15
193,2020-09-07,18
194,2020-09-08,16
195,2020-09-09,17
196,2020-09-10,15
197,2020-09-11,14
198,2020-09-12,13
199,2020-09-13,14
200,2020-09-14,12
201,2020-09-15,11
202,2020-09-16,10
203,2020-09-17,10
204,2020-09-18,11
205,2020-09-19,13
206,2020-09-20,14
207,2020-09-21,17
208,2020-09-22,18
209,2020-09-23,17
210,2020-09-24,17
211,2020-09-25,16
212,2020-09-26,16
213,2020-09-27,16
214,2020-09-28,15
215,2020-09-29,20
216,2020-09-30,21
217,2020-10-01,21
218,2020-10-02,21
219,2020-10-03,22
220,2020-10-04,24
221,2020-10-05,28
222,2020-10-06,30
223,2020-10-07,32
224,2020-10-08,33
225,2020-10-09,36
226,2020-10-10,42
227,2020-10-11,41
228,2020-10-12,50
229,2020-10-13,55
230,2020-10-14,62
231,2020-10-15,65
232,2020-10-16,72
233,2020-10-17,83
234,2020-10-18,91
235,2020-10-19,101
236,2020-10-20,107
237,2020-10-21,108
238,2020-10-22,112
239,2020-10-23,119
240,2020-10-24,125
241,2020-10-25,122
242,2020-10-26,128
243,2020-10-27,138
244,2020-10-28,152
245,2020-10-29,154
246,2020-10-30,158
247,2020-10-31,158
248,2020-11-01,167
249,2020-11-02,171
250,2020-11-03,182
251,2020-11-04,185
252,2020-11-05,192
253,2020-11-06,194
254,2020-11-07,195
255,2020-11-08,189
256,2020-11-09,185
257,2020-11-10,178
258,2020-11-11,164
259,2020-11-12,155
260,2020-11-13,144
261,2020-11-14,131
262,2020-11-15,123
263,2020-11-16,111
264,2020-11-17,102
265,2020-11-18,90
266,2020-11-19,79
267,2020-11-20,71
268,2020-11-21,63
269,2020-11-22,60
270,2020-11-23,57
271,2020-11-24,52
272,2020-11-25,47
273,2020-11-26,45
274,2020-11-27,44
275,2020-11-28,41
276,2020-11-29,38
277,2020-11-30,36
278,2020-12-01,32
279,2020-12-02,26
280,2020-12-03,21
281,2020-12-04,20
282,2020-12-05,20
283,2020-12-06,19
284,2020-12-07,19
285,2020-12-08,18
286,2020-12-09,17
287,2020-12-10,15
288,2020-12-11,13
289,2020-12-12,11
