,DATA,N_PAZ
0,2020-02-22,2
1,2020-02-23,3
2,2020-02-24,4
3,2020-02-25,8
4,2020-02-26,12
5,2020-02-27,14
6,2020-02-28,17
7,2020-02-29,27
8,2020-03-01,31
9,2020-03-02,43
10,2020-03-03,53
11,2020-03-04,66
12,2020-03-05,81
13,2020-03-06,92
14,2020-03-07,99
15,2020-03-08,109
16,2020-03-09,124
17,2020-03-10,137
18,2020-03-11,148
19,2020-03-12,164
20,2020-03-13,171
21,2020-03-14,185
22,2020-03-15,193
23,2020-03-16,212
24,2020-03-17,229
25,2020-03-18,253
26,2020-03-19,262
27,2020-03-20,270
28,2020-03-21,287
29,2020-03-22,300
30,2020-03-23,303
31,2020-03-24,314
32,2020-03-25,332
33,2020-03-26,329
34,2020-03-27,347
35,2020-03-28,354
36,2020-03-29,371
37,2020-03-30,366
38,2020-03-31,362
39,2020-04-01,352
40,2020-04-02,352
41,2020-04-03,353
42,2020-04-04,349
43,2020-04-05,349
44,2020-04-06,338
45,2020-04-07,326
46,2020-04-08,312
47,2020-04-09,311
48,2020-04-10,312
49,2020-04-11,312
50,2020-04-12,321
51,2020-04-13,315
52,2020-04-14,295
53,2020-04-15,273
54,2020-04-16,260
55,2020-04-17,252
56,2020-04-18,245
57,2020-04-19,243
58,2020-04-20,230
59,2020-04-21,212
60,2020-04-22,197
61,2020-04-23,189
62,2020-04-24,182
63,2020-04-25,180
64,2020-04-26,180
65,2020-04-27,173
66,2020-04-28,166
67,2020-04-29,151
68,2020-04-30,145
69,2020-05-01,141
70,2020-05-02,139
71,2020-05-03,137
72,2020-05-04,129
73,2020-05-05,120
74,2020-05-06,113
75,2020-05-07,112
76,2020-05-08,105
77,2020-05-09,100
78,2020-05-10,99
79,2020-05-11,91
80,2020-05-12,90
81,2020-05-13,79
82,2020-05-14,78
83,2020-05-15,73
84,2020-05-16,71
85,2020-05-17,73
86,2020-05-18,70
87,2020-05-19,65
88,2020-05-20,62
89,2020-05-21,56
